36  4.90171e-12
0  0
0  0
0  0
0  0
0  0
0  0
50.9117  6.02198e-12
0  0
0  0
0  0
0  0
0  0
0  0
0  0
72  4.75622e-12
0  0
80.4984  7.18649e-12
0  0
0  0
0  0
0  0
101.823  8.41369e-12
0  0
108  2.02684e-13
113.842  5.04696e-12
0  0
0  0
129.8  5.10086e-12
0  0
144  4.23753e-12
149.866  3.8229e-12
160.997  2.80297e-12
0  0
0  0
181.296  3.04463e-12
193.866  1.5889e-12
203.647  5.44612e-12
209.914  2.52165e-12
217.703  1.46524e-12
229.098  2.38553e-12
241.495  1.95033e-12
253.706  1.43172e-12
260.842  1.69349e-12
277.668  1.17088e-12
291.559  2.37769e-12
308.001  2.09351e-12
323.996  3.44021e-12
336.239  2.15218e-12
355.167  1.99602e-12
364.119  2.04377e-12
383.917  1.18857e-12
403.87  1.59952e-12
420.599  8.7782e-13
438.678  1.64157e-12
464.522  1.71121e-12
483.406  1.98787e-12
508.006  2.0029e-12
533.091  1.73741e-12
554.405  1.49612e-12
582.32  1.17799e-12
612.432  1.11245e-12
641.015  9.18318e-13
670.776  1.28106e-12
700.741  8.72247e-13
732.523  1.10316e-12
766.498  8.77956e-13
804.425  1.04048e-12
841.717  8.07786e-13
883.284  7.24707e-13
928.263  6.09222e-13
970.643  6.93838e-13
1015.64  7.46165e-13
1064.46  7.0216e-13
1114.59  6.30387e-13
1167.54  5.63351e-13
1222.57  5.41405e-13
1282.86  5.46724e-13
1344.87  5.63685e-13
1406.24  4.29367e-13
1472.06  3.68084e-13
1541.42  3.61373e-13
1614.31  3.2372e-13
1693.28  3.15069e-13
1774.96  2.6205e-13
1857.44  2.81796e-13
1945.38  2.53207e-13
2037.23  2.35018e-13
2133.68  2.2186e-13
2236.51  1.87081e-13
2342.92  2.02384e-13
2453.8  1.9334e-13
2571.03  1.5475e-13
2693.12  1.73978e-13
2821.81  1.37403e-13
2955.13  1.18967e-13
3093.79  1.11668e-13
3241.65  9.91426e-14
3395.81  9.54943e-14
3556.94  8.68983e-14
3725.03  8.62156e-14
3901.37  7.02172e-14
4087.97  6.62608e-14
4282.97  5.95051e-14
4486.98  5.94964e-14
4699.8  5.1709e-14
4921.85  5.17877e-14
5156.26  4.72145e-14
5401.63  4.25862e-14
5657.59  3.89788e-14
5926.37  3.69819e-14
6207.88  3.61916e-14
6502.08  3.26596e-14
6810.34  3.20886e-14
7133.77  3.02196e-14
7472.91  2.90604e-14
7828.19  2.75912e-14
8198.88  2.63995e-14
8587.83  2.59639e-14
8996.55  2.54175e-14
9407.21  2.37693e-14
9859.78  2.3449e-14
10328.9  2.13443e-14
10817.9  2.22705e-14
11327.1  2.10488e-14
11857.7  2.02895e-14
12401.3  1.98095e-14
12842.1  2.42608e-14
